code,name,price,hex,color_category,categoryName,variantSizes,image
1234778_group_004,Oversized Sweatshirt,"{'currencyIso': 'USD', 'value': 19.99, 'priceType': 'BUY', 'formattedValue': '$ 19.99', 'type': 'WHITE'}",##272628,Neutral,Ladies,"[{'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 357, 'filterCode': 'XXS'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 370, 'filterCode': 'L'}]","https://lp2.hm.com/hmgoepprod?set=source[/45/43/4543edd8f968ab047c0eb91260c4d4fdd074ef8b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1222670_group_001,Ava Ultra High Rise Wide Leg Jeans,"{'currencyIso': 'USD', 'value': 29.99, 'priceType': 'BUY', 'formattedValue': '$ 29.99', 'type': 'WHITE'}",##272628,Neutral,Ladies,"[{'orderFilter': 16, 'filterCode': '12'}, {'orderFilter': 10, 'filterCode': '6'}, {'orderFilter': 14, 'filterCode': '10'}, {'orderFilter': 20, 'filterCode': '16'}, {'orderFilter': 4, 'filterCode': '0'}, {'orderFilter': 70, 'filterCode': '26'}, {'orderFilter': 22, 'filterCode': '18'}, {'orderFilter': 6, 'filterCode': '2'}, {'orderFilter': 54, 'filterCode': '20'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 59, 'filterCode': '22'}, {'orderFilter': 65, 'filterCode': '24'}, {'orderFilter': 18, 'filterCode': '14'}, {'orderFilter': 12, 'filterCode': '8'}]","https://lp2.hm.com/hmgoepprod?set=source[/d7/39/d739f62a8209929d0fa713125b5bef22b1c89a5b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1213470_group_001,Tennis Circle Skirt in DryMove™,"{'currencyIso': 'USD', 'value': 13.99, 'priceType': 'BUY', 'formattedValue': '$ 13.99', 'type': 'RED'}",##272628,Neutral,"Ladies,SPORTSWEAR","[{'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 372, 'filterCode': 'XL'}, {'orderFilter': 375, 'filterCode': 'XXL'}]","https://lp2.hm.com/hmgoepprod?set=source[/6e/44/6e4450bc8ad39a885ed3daad3fe01210b6469e29.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
0871889_group_043,Bleecker High Rise Wide Leg Jeans,"{'currencyIso': 'USD', 'value': 29.99, 'priceType': 'BUY', 'formattedValue': '$ 29.99', 'type': 'WHITE'}",##CDDEEF,Cool,Ladies,"[{'orderFilter': 54, 'filterCode': '20'}, {'orderFilter': 6, 'filterCode': '2'}, {'orderFilter': 14, 'filterCode': '10'}, {'orderFilter': 16, 'filterCode': '12'}, {'orderFilter': 12, 'filterCode': '8'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 4, 'filterCode': '0'}, {'orderFilter': 20, 'filterCode': '16'}, {'orderFilter': 18, 'filterCode': '14'}, {'orderFilter': 22, 'filterCode': '18'}, {'orderFilter': 10, 'filterCode': '6'}]","https://lp2.hm.com/hmgoepprod?set=source[/e7/cf/e7cf702da2da6cbd1cbd75a58e85720734131980.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1243097_group_001,Off-the-Shoulder Dress with Foldover Edge,"{'currencyIso': 'USD', 'value': 17.99, 'priceType': 'BUY', 'formattedValue': '$ 17.99', 'type': 'RED'}",##272628,Neutral,Ladies,"[{'orderFilter': 375, 'filterCode': 'XXL'}, {'orderFilter': 384, 'filterCode': '4XL'}, {'orderFilter': 381, 'filterCode': '3XL'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 357, 'filterCode': 'XXS'}, {'orderFilter': 372, 'filterCode': 'XL'}]","https://lp2.hm.com/hmgoepprod?set=source[/27/b1/27b1710b15457c7bb60efbefd5fe4589a1fcdd17.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1193602_group_019,Sweatpants,"{'currencyIso': 'USD', 'value': 19.99, 'priceType': 'BUY', 'formattedValue': '$ 19.99', 'type': 'WHITE'}",##272628,Neutral,Ladies,"[{'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 369, 'filterCode': 'M'}]","https://lp2.hm.com/hmgoepprod?set=source[/66/c6/66c60be4e8f175c5f3a357b3ecc5be562e1a8d56.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1143405_group_001,Sweatshirt,"{'currencyIso': 'USD', 'value': 12.99, 'priceType': 'BUY', 'formattedValue': '$ 12.99', 'type': 'WHITE'}",##272628,Neutral,Ladies,"[{'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 375, 'filterCode': 'XXL'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 357, 'filterCode': 'XXS'}]","https://lp2.hm.com/hmgoepprod?set=source[/3a/58/3a5836558470535c531d9eb47b26b7d8281c0512.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1045459_group_036,Harper High Rise Wide Leg Jeans,"{'currencyIso': 'USD', 'value': 34.99, 'priceType': 'BUY', 'formattedValue': '$ 34.99', 'type': 'WHITE'}",##767F99,Neutral,Ladies,"[{'orderFilter': 10, 'filterCode': '6'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 18, 'filterCode': '14'}, {'orderFilter': 6, 'filterCode': '2'}, {'orderFilter': 4, 'filterCode': '0'}]","https://lp2.hm.com/hmgoepprod?set=source[/3a/dc/3adc6f51d198e3dd9f94f2584efcd3015b726c5d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1123621_group_019,Sports Crop Top in DryMove™,"{'currencyIso': 'USD', 'value': 6.99, 'priceType': 'BUY', 'formattedValue': '$ 6.99', 'type': 'RED'}",##6E6C6E,Neutral,"Ladies,SPORTSWEAR","[{'orderFilter': 375, 'filterCode': 'XXL'}, {'orderFilter': 372, 'filterCode': 'XL'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 357, 'filterCode': 'XXS'}, {'orderFilter': 369, 'filterCode': 'M'}]","https://lp2.hm.com/hmgoepprod?set=source[/13/ce/13ce7378d2906cba7d795f944724e1c45396e787.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
0975845_group_002,High Waist Joggers,"{'currencyIso': 'USD', 'value': 24.99, 'priceType': 'BUY', 'formattedValue': '$ 24.99', 'type': 'WHITE'}",##C8C8C8,Cool,Ladies,"[{'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 357, 'filterCode': 'XXS'}, {'orderFilter': 372, 'filterCode': 'XL'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 375, 'filterCode': 'XXL'}]","https://lp2.hm.com/hmgoepprod?set=source[/c9/38/c9385ac661602fc19916395cb89548708a5f0c0a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
